"imputation","iteration","suggested_factors","item_removed","removal_reason","removal_value","communality","complexity","highest_loading"
8,41,24,"Social_Others_Lead","max_loading",0.3,0.32,5.27,0.3
9,1,28,"Sympathy_Limits","communality",0.12,0.12,6.33,0.19
9,2,28,"Worry_Compare","communality",0.13,0.13,5.47,0.21
9,3,27,"More_Or_Less_Positive","communality",0.16,0.16,2.12,0.31
9,4,27,"Should_Obey_Law","communality",0.19,0.19,6.76,0.2
9,5,27,"Alcohol_More_Than_Intended","communality",0.19,0.19,11.2,0.16
9,6,27,"Aware_Body","communality",0.2,0.2,3.24,0.35
9,7,27,"Without_skill","communality",0.23,0.23,1.46,0.44
9,8,27,"When_Difficult","communality",0.17,0.17,2.43,0.34
9,9,27,"Approach_Health","communality",0.21,0.21,3.41,0.25
9,10,27,"Intercourse_Pain","communality",0.24,0.24,4.97,0.26
9,11,27,"Leaking_Urine","communality",0.24,0.24,2.71,0.33
9,12,27,"Bad_Happens_Prevented","communality",0.24,0.24,6.41,0.23
9,13,27,"Releived_No_Responsibility","communality",0.24,0.24,3.12,0.33
9,14,27,"Quick_Sense_Hunger","communality",0.24,0.24,1.23,0.51
9,15,26,"Low_Pain_Tolerance","communality",0.22,0.22,7.26,0.24
9,16,26,"Loud_Noise","communality",0.24,0.24,10.22,0.17
9,17,26,"Hate_Temp","communality",0.23,0.23,6.79,0.21
9,18,26,"Headache_Frequency","communality",0.25,0.25,7.72,0.2
9,19,26,"High_Standards","max_loading",0.22,0.46,10.55,0.22
9,20,26,"Mental_Emotional","max_loading",0.22,0.38,6.7,0.22
9,21,26,"Trust_Friends","max_loading",0.23,0.48,7.75,0.23
9,22,26,"Exciting_Look_Forward","max_loading",0.23,0.53,7.57,0.23
9,23,26,"Avoid_Distraction","max_loading",0.25,0.32,6.29,0.25
9,24,26,"People_Take_Advantage","max_loading",0.24,0.46,7.41,0.24
9,25,26,"Actively_Carry_Plans","max_loading",0.25,0.54,6.47,0.25
9,26,26,"Some_Wander_Aimlessly","max_loading",0.24,0.46,4.86,0.24
9,27,26,"Worthless_Freq","max_loading",0.25,0.82,8.45,0.25
9,28,26,"Dont_Fit_Community","max_loading",0.25,0.5,6.61,0.25
9,29,26,"Everything_Effort","max_loading",0.25,0.6,7.18,0.25
9,30,26,"Nothing_Cheer","max_loading",0.24,0.71,8.58,0.24
9,31,25,"Careless","max_loading",0.24,0.29,6.75,0.24
9,32,25,"Positive_About_Self","max_loading",0.25,0.78,9.88,0.25
9,33,25,"Worry_Frequency","max_loading",0.28,0.41,4.71,0.28
9,34,25,"Expect_The_Best","max_loading",0.29,0.36,5.98,0.29
9,35,25,"Optimistic_About_Future","max_loading",0.27,0.48,5.61,0.27
9,36,24,"Choose_Goals","communality",0.18,0.18,6.15,0.27
9,37,24,"To_Reach_Goals","communality",0.16,0.16,5.51,0.17
9,38,24,"More_Sucessful","max_loading",0.29,0.41,4.21,0.29
9,39,24,"Social_Others_Lead","max_loading",0.3,0.32,5.33,0.3
10,1,28,"Sympathy_Limits","communality",0.12,0.12,6.31,0.19
10,2,27,"Worry_Compare","communality",0.14,0.14,6.21,0.19
10,3,27,"More_Or_Less_Positive","communality",0.16,0.16,2.19,0.31
10,4,27,"Should_Obey_Law","communality",0.19,0.19,6.76,0.21
10,5,27,"Aware_Body","communality",0.19,0.19,3.34,0.33
10,6,27,"Alcohol_More_Than_Intended","communality",0.2,0.2,11.06,0.17
10,7,27,"Without_skill","communality",0.23,0.23,1.43,0.45
10,8,27,"When_Difficult","communality",0.17,0.17,2.46,0.34
10,9,27,"Approach_Health","communality",0.21,0.21,3.46,0.25
10,10,27,"Intercourse_Pain","communality",0.24,0.24,6.78,0.23
10,11,27,"Leaking_Urine","communality",0.24,0.24,2.63,0.33
