"lhs","op","rhs","mi","riv","fmi","epc","sepc.lv","sepc.all"
"Disinhibited_Externalizing","=~","No_Good_Sense",269.009628072135,0.0387563626780962,0.0373103492508826,0.149536118556631,0.149536118556631,0.149536118556631
"Internalizing","=~","Goal_Keep_Benefits",266.570789533444,0.0802462101882972,0.0742851115157437,-0.0988468854629993,-0.0988468854629993,-0.0988468854629993
"Disinhibited_Externalizing","=~","Upset_Freq_30_Day",249.408261347616,0.0692800236982001,0.0647912821363565,-0.110493047295065,-0.110493047295065,-0.110493047295065
"Disinhibited_Externalizing","=~","Maintaining_Relationships_Hard",245.181379653027,0.0122421372167138,0.0120940798319018,-0.155090866813918,-0.155090866813918,-0.155090866813918
"Detachment","=~","Hopeless_Freq",239.48231163862,0.10225809170711,0.0927714593128903,-0.147620701192519,-0.147620701192519,-0.147620701192519
"Detachment","=~","Sometimes_Just_Hit_Someone",236.499737187913,0.083913848224133,0.0774174519142976,0.247633723790352,0.247633723790352,0.247633723790352
"Internalizing","=~","Upset_Think_Day",228.292109058256,0.0547763141720967,0.0519316877295364,-0.173579788477083,-0.173579788477083,-0.173579788477083
"Actively_Carry_Plans","~~","Know_Want_Life",225.810716302588,0.0196880837335228,0.0193079472513165,0.158800979509754,0.158800979509754,0.394579400658853
"Anatagonistic","=~","Upset_Freq_30_Day",222.247697067092,0.0612549901891283,0.0577193895486059,0.162415568132848,0.162415568132848,0.162415568132848
"Anatagonistic","=~","Gave_Up",220.806052858524,0.0300102157335106,0.0291358428053446,0.184114646069329,0.184114646069329,0.184114646069329
"Detachment","=~","Angry_Ready_Hit",217.677757439099,0.0900016229756945,0.0825701733635872,0.209211910264047,0.209211910264047,0.209211910264047
"Disinhibited_Externalizing","=~","Angry_Freq",212.843259720881,0.0606252045187839,0.0571598753833972,-0.102362701715102,-0.102362701715102,-0.102362701715102
"Detachment","=~","Will",207.744199851428,0.047443620424655,0.0452946769635395,-0.121753931736942,-0.121753931736942,-0.121753931736942
"Disinhibited_Externalizing","=~","Few_Close_Friends",205.490134463673,0.0246786003257917,0.0240842351132787,-0.142224190983456,-0.142224190983456,-0.142224190983456
"When_Insult_Get_Even","~~","Sometimes_Just_Hit_Someone",195.07148392388,0.0125227851480645,0.0123679045368182,-0.208722517093754,-0.208722517093754,-0.302891267538019
"Detachment","=~","Frustrated_Freq_30_Day",189.832984605725,0.0472382506268039,0.0451074534362457,0.109337871194242,0.109337871194242,0.109337871194242
"Internalizing","=~","Angry_Ready_Hit",188.702983951351,0.0812212006068684,0.0751198742322852,0.179497564881761,0.179497564881761,0.179497564881761
"Maintaining_Relationships_Hard","~~","Few_Close_Friends",186.766239791975,0.017614190892796,0.0173093015510547,-0.115562391707497,-0.115562391707497,-0.242300539110236
