"imputation","iteration","suggested_factors","item_removed","removal_reason","removal_value","communality","complexity","highest_loading"
9,30,22,"Nothing_Cheer","max_loading",0.28,0.7,5.52,0.28
9,31,22,"Exciting_Look_Forward","max_loading",0.28,0.53,5.56,0.28
9,32,22,"People_Take_Advantage","max_loading",0.29,0.45,5.37,0.29
9,33,16,"Fun_Tight_Rope","communality",0.24,0.24,7.6,0.23
9,34,16,"Fun_Earthquake","communality",0.24,0.24,4.74,0.29
9,35,20,"Most_See_Love","max_loading",0.26,0.51,9.71,0.26
9,36,20,"Others_Describe_Giving","max_loading",0.27,0.53,6.69,0.27
9,37,20,"More_Sucessful","max_loading",0.29,0.39,4.07,0.29
10,1,21,"Sympathy_Limits","communality",0.11,0.11,4.54,0.21
10,2,21,"Worry_Compare","communality",0.13,0.13,6.41,0.19
10,3,20,"More_Or_Less_Positive","communality",0.15,0.15,1.99,0.31
10,4,20,"Aware_Body","communality",0.15,0.15,5.66,0.23
10,5,21,"Quick_Sense_Hunger","communality",0.18,0.18,2.25,0.34
10,6,21,"Should_Obey_Law","communality",0.19,0.19,4.03,0.25
10,7,21,"Alcohol_More_Than_Intended","communality",0.19,0.19,10.09,0.16
10,8,21,"Low_Pain_Tolerance","communality",0.21,0.21,8.02,0.22
10,9,21,"Without_skill","communality",0.21,0.21,1.37,0.43
10,10,21,"When_Difficult","communality",0.15,0.15,3.4,0.29
10,11,17,"Choose_Goals","communality",0.14,0.14,7.65,0.2
10,12,17,"To_Reach_Goals","communality",0.16,0.16,6.52,0.17
10,13,20,"Approach_Health","communality",0.17,0.17,8.63,0.15
10,14,20,"Intercourse_Pain","communality",0.23,0.23,2.12,0.35
10,15,21,"Leaking_Urine","communality",0.23,0.23,3.14,0.32
10,16,21,"Loud_Noise","communality",0.23,0.23,9.81,0.19
10,17,15,"Releived_No_Responsibility","communality",0.2,0.2,5.42,0.23
10,18,15,"Hate_Temp","communality",0.22,0.22,7,0.2
10,19,15,"Bad_Happens_Prevented","communality",0.22,0.22,5.22,0.25
10,20,15,"Headache_Frequency","communality",0.23,0.23,4.25,0.25
10,21,15,"Lower_Expectations","communality",0.24,0.24,4.38,0.29
10,22,18,"Careless","max_loading",0.21,0.29,8.37,0.21
10,23,18,"Exciting_Look_Forward","max_loading",0.22,0.53,7.76,0.22
10,24,18,"Mental_Emotional","max_loading",0.22,0.38,6.04,0.22
10,25,18,"Expect_The_Best","max_loading",0.26,0.35,6.35,0.26
10,26,15,"Asking_Help_Naturally","communality",0.24,0.24,4.04,0.34
10,27,21,"Dont_Like_Help","communality",0.25,0.25,6.38,0.25
10,28,21,"Trust_Friends","max_loading",0.28,0.47,6,0.28
10,29,21,"Some_Wander_Aimlessly","max_loading",0.27,0.47,4.36,0.27
10,30,21,"Dissapointment_Low_Goal","max_loading",0.28,0.34,4.14,0.28
10,31,21,"Enjoy_Convo","max_loading",0.28,0.56,5.63,0.28
10,32,21,"Avoid_Distraction","max_loading",0.28,0.31,5.33,0.28
10,33,21,"Nothing_Cheer","max_loading",0.29,0.7,5.71,0.29
10,34,21,"Positive_About_Self","max_loading",0.29,0.75,7.49,0.29
10,35,21,"People_Take_Advantage","max_loading",0.29,0.46,5.68,0.29
10,36,21,"Optimistic_About_Future","max_loading",0.29,0.47,4.63,0.29
10,37,21,"More_Sucessful","max_loading",0.29,0.4,4.04,0.29
11,1,20,"Sympathy_Limits","communality",0.11,0.11,4.48,0.21
11,2,21,"Worry_Compare","communality",0.13,0.13,7.26,0.18
11,3,20,"More_Or_Less_Positive","communality",0.15,0.15,1.93,0.32
11,4,20,"Aware_Body","communality",0.15,0.15,5.25,0.23
11,5,21,"Quick_Sense_Hunger","communality",0.18,0.18,2.38,0.33
11,6,21,"Alcohol_More_Than_Intended","communality",0.18,0.18,10.93,0.15
11,7,21,"Should_Obey_Law","communality",0.19,0.19,4.64,0.24
11,8,21,"Low_Pain_Tolerance","communality",0.2,0.2,8.14,0.21
11,9,21,"Without_skill","communality",0.22,0.22,1.33,0.44
